PL_Rank,Player,Position,PL_Tier,PL_Tier_Name,Tags,PL_Note
44,Eugenio Suárez,3B,6,Mid,POWER_OBP,49 HR; back in GABP; 40+ HR ceiling; high floor despite painful ratios
45,Maikel Garcia,2B,6,Mid,"SPEED_VALUE,MULTI_POS",16 HR breakout; 20+ SB; 2B/3B/SS/OF eligible; .280 BA; power real
46,Byron Buxton,OF,6,Mid,"INJURY_RISK,ADP_VALUE",Top-20 when healthy; 126 G first time since 2017; weak Twins lineup hurts
47,Austin Riley,3B,6,Mid,"BOUNCE_BACK,INJURY_RISK",2-year injury funk; 33+ HR history; 29 yo; projections bullish; get one 3B here
48,Vinnie Pasquantino,1B,6,Mid,POINTS_VALUE,25 HR safer projection; elite K avoidance = points league bump; injury risk
49,Corey Seager,SS,6,Mid,"POWER_OBP,INJURY_RISK",30 HR 3 straight pre-2025; health only question; massive upside if managed risk
50,Ben Rice,C,6,Mid,"ADP_VALUE,MULTI_POS",Top-5 xwOBA + hard-hit; 99th pct xSLG; C+1B eligible; 135-140 G ceiling
51,William Contreras,C,6,Mid,BOUNCE_BACK,Hand injury explains 2025; top-5 C when healthy; rolling power improving
52,Christian Yelich,OF,7,Useful,AGING,140+ G third time in 4 seasons; 20-25 HR + 15-20 SB; Brewers potent offense
53,Trevor Story,SS,7,Useful,INJURY_RISK,35 HR / 31 SB first full season since 2021; projections confirm; age-33 concern
54,Geraldo Perdomo,SS,7,Useful,"SPEED_VALUE,OBP_VALUE",25-30 SB; elite contact; 10-12 HR; 90 R / 60 RBI correction from 2025 pace
55,Salvador Perez,C,7,Useful,MULTI_POS,25 HR / 100 RBI somehow; brutal slumps part of the deal; reliable anchor
56,Willy Adames,SS,7,Useful,"BOUNCE_BACK,ADP_VALUE",July 1.096 OPS; 18 HR 2H; consistent top-50 finisher despite brutal starts
57,Seiya Suzuki,OF,7,Useful,"BOUNCE_BACK,ADP_VALUE",32 HR career high; .245 BA below norm; process metrics stayed strong in 2H
58,Michael Harris II,OF,7,Useful,"SLEEPER,BOUNCE_BACK",14 HR / .302 from July 11 on; 3rd-year corner turning? ADP is gift; young
59,Alex Bregman,3B,7,Useful,POWER_OBP,18 HR in 114 G; walk rate back; Wrigley suits pull-heavy approach
60,Jose Altuve,2B,7,Useful,"AGING,MULTI_POS",26 HR; 157 R+RBI; second straight 150+ G; turns 36 in May; OF eligible
61,Roman Anthony,OF,8,Streamer,ADP_VALUE,22-25 HR ceiling; 100 R upside; tools confirmed; 85-90 R more likely floor
62,George Springer,OF,8,Streamer,AGING,32 HR at 35 career-best Statcast; regression baked in; leadoff premium
63,Taylor Ward,OF,8,Streamer,POWER_OBP,36 HR / 103 RBI; 30+ HR repeatable; Camden Yards new home; manage K spikes
64,Jarren Duran,OF,8,Streamer,SPEED_VALUE,16 HR / 24 SB; top-60 finish; floor top-75; upside for more counting stats
65,Will Smith,C,8,Streamer,"ADP_VALUE,BOUNCE_BACK",Best ratios of career 131 Process+; 64 R / 61 RBI suppressed by 110 G only
66,Ivan Herrera,C,8,Streamer,"BOUNCE_BACK,INJURY_RISK",Above avg in Contact + Power + Decision Value; 25 HR if stays healthy
67,Kyle Stowers,OF,8,Streamer,SLEEPER,30-35 HR ceiling if decisions hold; 10 July HRs in 24 G; .260-.270 BA path
68,Jo Adell,OF,8,Streamer,POWER_OBP,37 HR / 98 RBI finally realized; 40 HR ceiling; avg drag; counting stat risk
69,Tyler Soderstrom,1B,8,Streamer,"POWER_OBP,MULTI_POS",Spike producer; .276 BA; high GB limits HR ceiling; 1B+OF eligible
70,Andy Pages,OF,8,Streamer,ADP_VALUE,27 HR / 14 SB debut; BA regresses to .250-.260; SB likely halved; Dodgers pop
71,Jakob Marsee,OF,8,Streamer,"SLEEPER,SPEED_VALUE",189 wRC+ debut; elite contact; 40 SB ceiling; swing change added 3 mph exit velo
72,CJ Abrams,SS,9,Depth,SPEED_VALUE,20 HR / 30 SB reliable; BABIP-dependent avg; 80-90 R; what you see is what you get
73,Jeremy Peña,SS,9,Depth,"SPEED_VALUE,BOUNCE_BACK",20 HR / 25 SB pace when healthy; .304 BA career high; injury risk persists
74,Nico Hoerner,2B,9,Depth,"SPEED_VALUE,OBP_VALUE",25+ SB / .280 BA floor; sub-10 HR; fits specific power-heavy roster needs
75,Drake Baldwin,C,9,Depth,ADP_VALUE,19 HR / .274 BA / 80 RBI debut; 15.2% K rate; great outcome = repeat of 2025
76,Randy Arozarena,OF,9,Depth,SPEED_VALUE,27 HR / 31 SB; streaky due to zone contact (77.9%); 20-20 reliable floor
77,Brandon Nimmo,OF,9,Depth,POWER_OBP,23-25 HR / double-digit SB; full season; Texas move lowers R ceiling slightly
78,Oneil Cruz,OF,9,Depth,"SPEED_VALUE,BUST",30-30 upside vs LHP weakness; 56% GB rate spike 2H; floor depressingly low
79,Ceddanne Rafaela,2B,9,Depth,"SPEED_VALUE,MULTI_POS",14 HR / 13 SB 1H; power hinges on fastball punishment; 2B+OF eligible
80,Ian Happ,OF,9,Depth,POWER_OBP,20+ HR / 85+ R / 79+ RBI three straight seasons; .340-.360 OBP; bankable
81,Steven Kwan,OF,9,Depth,"POINTS_VALUE,OBP_VALUE",Elite contact; ~.300 BA / 20 SB / 80-90 R; points bump; OBP caution
82,Yandy Díaz,1B,9,Depth,OBP_VALUE,~.290-.300 BA; 16-18 HR back at Trop (never 12+ HR there before); 150 R+RBI
83,Brandon Lowe,2B,9,Depth,"POWER_OBP,INJURY_RISK",31 HR / 161 R+RBI; PIT less platoon risk; 50+ G missed in 3 of 4 seasons
84,Matt Chapman,3B,9,Depth,"BOUNCE_BACK,INJURY_RISK",Last safe-ish 3B; hand injury explains 2025; 23-25 HR if fully healthy
85,Jonathan Aranda,1B,10,Speculative,"ADP_VALUE,INJURY_RISK",Elite contact when healthy; 31.8% K concern; avg decision/contact by PLV
86,Dansby Swanson,SS,10,Speculative,POINTS_VALUE,Set-and-forget floor; 20 HR / 80 R / 75 RBI / 15 SB / .240 BA reliable
87,Luke Keaschall,2B,10,Speculative,"SPEED_VALUE,ADP_VALUE",20-25 SB; elite discipline; 10 HR ceiling; 49 G sample risk; MIN starter
88,Teoscar Hernández,OF,10,Speculative,"POWER_OBP,ADP_VALUE",25 HR / 90-100 RBI via Dodgers; zone contact improving; BABIP overdue to rise
89,Trent Grisham,OF,10,Speculative,"BOUNCE_BACK,ADP_VALUE",34 HR breakout; career-best walk+K rates; NYY leadoff locked; all kosher Statcast
90,Luis Robert Jr.,OF,10,Speculative,"SPEED_VALUE,INJURY_RISK",20 HR / 50 SB pace in 110 G; floor awful; Mets may help consistency
91,Bryan Reynolds,OF,10,Speculative,ADP_VALUE,Strong 2H; top-80 ceiling; PIT context limits floor; trade upside years away
92,Michael Busch,1B,10,Speculative,POWER_OBP,34 HR / .261/.343/.523; projection drop pulled ranks down; postseason heater
93,Alec Burleson,1B,10,Speculative,"POINTS_VALUE,OBP_VALUE",~.280 BA; 23-25 HR; low K; STL thin lineup hurts counting stats
94,Christian Walker,1B,10,Speculative,"POWER_OBP,BUST",30 HR ceiling; strong 2H salvaged season; rising K + falling walk = floor risk
95,Colson Montgomery,SS,10,Speculative,"SLEEPER,BUST",32 HR via pull approach; sophomore regression real risk; projections confirm power
96,Ramón Laureano,OF,10,Speculative,"BOUNCE_BACK,INJURY_RISK",Career Statcast highs at 30; never played 105+ G since 2019; tall ask to repeat
97,Lawrence Butler,OF,10,Speculative,"PLATOON,BUST",21 HR / 22 SB; vs LHP .570 OPS; road .633 OPS; experience should help
98,Daulton Varsho,OF,10,Speculative,BOUNCE_BACK,20 HR in 71 G; 21.3% HR/FB won't fully repeat; some sticky improvement
99,Munetaka Murakami,3B,11,Lottery,"SLEEPER,BUST",30 HR power; 30%+ K risk; Japan import; CHW poor development track record
100,Luis Arraez,1B,11,Lottery,"OBP_VALUE,POINTS_VALUE",Lowest K rate 4 straight seasons; .292 worst BA; SF leadoff ideal fit
101,Jacob Wilson,SS,11,Lottery,ADP_VALUE,~.290-.300 BA slap hitter; sub-30% hard-hit; ROY derailed by slump+injury
102,Ezequiel Tovar,SS,11,Lottery,POWER_OBP,Cleaner K rate; 23-25 HR ceiling; 95 G only in 2025; Coors discount
103,Agustín Ramírez,C,11,Lottery,"SPEED_VALUE,ADP_VALUE",21 HR / 16 SB debut; .231 BA; 136 G as rookie; 150 G path in 2026
104,Heliot Ramos,OF,11,Lottery,BUST,25 HR / 160 R+RBI ceiling if consistent; mostly average after May/June
105,Spencer Torkelson,1B,11,Lottery,POWER_OBP,30 HR again; K rate spikes concern; Tigers role secure; elevated walk rate helps
106,Willson Contreras,1B,11,Lottery,"POWER_OBP,ADP_VALUE",Top-7 C production every healthy 100+ G season; 25 HR / BoSox lineup boost
107,Jorge Polanco,2B,11,Lottery,"INJURY_RISK,MULTI_POS",Top-75 when healthy; 40+ G missed 3 straight years; 3B eligible in Yahoo
108,Ozzie Albies,2B,11,Lottery,BOUNCE_BACK,Strong 2H; below-avg pop by PLV; 18 HR / 15 SB ceiling; 3rd-best 2B in 2H
109,Alejandro Kirk,C,12,Bench,POINTS_VALUE,15 HR season-long; above-avg power at multiple points; elite contact floor
110,Giancarlo Stanton,OF,12,Bench,"INJURY_RISK,POWER_OBP",24 HR / .273 in ~70 G; top-20 in 2H when healthy; certain IL time
111,Xavier Edwards,2B,12,Bench,"SPEED_VALUE,MULTI_POS",30-35 SB / .280-.290 BA / near-zero HR; 2B+SS eligible; locked everyday role
112,Kerry Carpenter,OF,12,Bench,"INJURY_RISK,POWER_OBP,PLATOON",30-35 HR pop; platoon + injury risk; power streamer + bench replacement combo
113,Yainer Diaz,C,12,Bench,"BOUNCE_BACK,MULTI_POS",20 HR; BA likely BABIP-corrects upward; slow start explained; C/1B eligible
114,Gleyber Torres,2B,12,Bench,POINTS_VALUE,15-16 HR / .255-.260 BA; elite counting stats in DET lineup; sports hernia
115,Adley Rutschman,C,12,Bench,"BOUNCE_BACK,BUST",.209/.294/.332 since July 2024; bounce-back to top-5 C possible; path unclear
116,Marcus Semien,2B,12,Bench,"AGING,ADP_VALUE",Back-to-back .240 slash; NYM move boosts counting stats; June 2025 was real
117,Chandler Simpson,OF,12,Bench,SPEED_VALUE,44 SB in 104 G; zero barrels in 376 BIP; dead-last avg exit velo; speed only
118,Sal Stewart,1B,12,Bench,"SLEEPER,MULTI_POS",PLV: .272 BA / 31 HR / 600 PA = 21st overall; immediate power in 18 MLB G; 1B+3B
119,Dylan Crews,OF,12,Bench,"SPEED_VALUE,INJURY_RISK",15 HR / 35 SB ceiling; 52.7% GB rate concern; .211 BA; ceiling > floor play
120,Xander Bogaerts,SS,12,Bench,AGING,15 SB / 10 HR / .260 BA; bankable floor for deep leagues; mileage adding up
121,Wilyer Abreu,OF,12,Bench,"INJURY_RISK,PLATOON",11 HR first 42 G; .225 / 11 HR final 73 G; likely platoon limits ceiling
122,Brenton Doyle,OF,12,Bench,"SPEED_VALUE,BUST",20 HR / 25 SB potential; Coors-dependent; road splits poison; streaky ratios
123,Alec Bohm,1B,13,Deep,"MULTI_POS,ADP_VALUE",97 RBI back-to-back prior years; value tied to cleanup spot; PHI; 1B+3B
124,Ryan O'Hearn,1B,13,Deep,POINTS_VALUE,15-17 HR; solid ratios; PIT everyday by default; high floor for late pick
125,Gabriel Moreno,C,13,Deep,"BOUNCE_BACK,INJURY_RISK",9 HR in 83 G via improved fly ball; injury history every season; steal if healthy
126,Mike Trout,OF,13,Deep,"INJURY_RISK,POWER_OBP",130 G first since 2019; 32% K rate new career-high concern; top-80 if 120+ G
127,Otto Lopez,2B,13,Deep,MULTI_POS,~.260-.270 BA; neutral all categories; MIA SS starter; 2B eligible in fantasy
128,Bryson Stott,2B,13,Deep,"SPEED_VALUE,MULTI_POS",63-game slump inevitable; top-80 to 120 range; 2B+SS eligible; speed+avg value
129,Luis García Jr.,2B,13,Deep,POINTS_VALUE,16-18 HR / 10+ SB / low K; career .299 OBP hurts OBP leagues; platoon risk
130,Caleb Durbin,2B,13,Deep,"POINTS_VALUE,MULTI_POS",10+ HR / 16-20 SB / slightly positive BA; low K; Green Monster may help; 2B+3B
131,Kazuma Okamoto,3B,13,Deep,ADP_VALUE,20 HR / .260 BA safe floor; TOR 3B role; safer option than Murakami; adaptation risk
132,Royce Lewis,3B,13,Deep,"SLEEPER,INJURY_RISK",33 HR / 46 SB pace in final 38 G; has never been healthy; 3B upside play
133,Daylen Lile,OF,13,Deep,ADP_VALUE,Top-40 in 2H; .299 BA debut; doubles-heavy; 10+ HR + 10+ SB; OBP caution
134,Noelvi Marte,3B,13,Deep,"BUST,MULTI_POS",Extreme hot-cold; 25 HR / 15 SB upside; PED history; .502 OPS final 23 G
135,Austin Hays,OF,14,Speculative2,"PLATOON,INJURY_RISK",Struggles vs RHP last 2 seasons unusual; 20 HR ceiling if full-time CHW
136,Brendan Donovan,2B,14,Speculative2,"OBP_VALUE,MULTI_POS,POINTS_VALUE",~.280 BA; 13-15 HR; elite contact; SEA; durability risk (2 of 3 years injured)
137,Matt McLain,2B,14,Speculative2,"BUST,MULTI_POS",LD rate drop + K spike + HR/FB halved = .220 / sub-20 HR; one offseason to fix
138,Jordan Beck,OF,14,Speculative2,"PLATOON,DEEP_LEAGUE",20 HR / 20 SB in Coors; road splits unusable; 31.9% K in 2H; Coors streamer
139,Isaac Paredes,3B,14,Speculative2,"POWER_OBP,ADP_VALUE",30 HR ceiling; Astros PT uncertain vs Correa; extreme pull-fly approach works
140,Willi Castro,2B,14,Speculative2,MULTI_POS,15 HR / .260 BA / 15 SB in Coors; 2B/3B/OF eligible; utility value
141,Chase Meidroth,2B,14,Speculative2,"SPEED_VALUE,MULTI_POS",~15 SB / .270+ BA / double-digit HR; CWS leadoff; 2B+SS; floor play
142,Samuel Basallo,C,14,Speculative2,"SLEEPER,POWER_OBP",94.2 mph exit velo in Triple-A; 30 HR upside; needs to chase less; BAL platoon
143,Jake Burger,1B,14,Speculative2,POWER_OBP,25 HR / TEX middle-order; ratios hurt; could bottom out; boom-or-bust
144,Konnor Griffin,OF,14,Speculative2,STASH,Best prospect in baseball; <100 G unlikely; power + speed + maturing hit tool
145,Max Muncy,3B,14,Speculative2,"BOUNCE_BACK,INJURY_RISK",Glasses fix real (.264 from May 1); 40-50 G IL near-certain; LAD power boost
146,Carlos Correa,3B,14,Speculative2,"MULTI_POS,BUST",27.1% LD rate HOU fluky (career norm 20.7%); lineup position valuable; 2 positions
147,Andrew Vaughn,1B,14,Speculative2,"BOUNCE_BACK,ADP_VALUE",Plate discipline gains in MIL real; .250 / 20 HR mid-lineup; trust the new org
148,Jac Caglianone,1B,14,Speculative2,"SLEEPER,POWER_OBP",Massive power upside; miserable 232 PA debut; closer to lineup now; KCR top-heavy
149,Kyle Manzardo,1B,14,Speculative2,POWER_OBP,27 HR; 85 RBI projection; vs LHP contact issues; CLE needs him
150,Jackson Holliday,2B,14,Speculative2,"SLEEPER,MULTI_POS",Decision-making/breaker improvement dramatic; 20-20 ceiling; 2B+SS eligible
151,J.T. Realmuto,C,15,Reserve,AGING,12 HR in 134 G; declining power; backend only; volume value deep
152,Francisco Alvarez,C,15,Reserve,"SLEEPER,INJURY_RISK",54.3% hard-hit rate; 27+ HR ceiling; injuries + contact + GB keep him back
153,Lars Nootbaar,OF,15,Reserve,"OBP_VALUE,INJURY_RISK",Top-100 flashes; 140 wRC+ in April; faded badly; OBP+points value
154,Spencer Horwitz,1B,15,Reserve,"OBP_VALUE,POINTS_VALUE",Strong 2H; loses 2B eligibility; 6th-best 2B in 2H; PIT; ratios boost
155,Jung Hoo Lee,OF,15,Reserve,POINTS_VALUE,~.270-.280 BA; few HR or SB; points league value; hit tool leads
156,Addison Barger,3B,15,Reserve,PLATOON,15 HR / 133 wRC+ over 76 G peak; platoon locks ceiling down
157,Adolis García,OF,15,Reserve,POWER_OBP,PHI everyday role; 25 HR / 10 SB upside; strikeout rate hasn't collapsed yet
158,Gavin Sheets,1B,15,Reserve,"STREAMER,PLATOON",Streaky power vs RHP; O'Hearn gone opens PT; streaming vs righties only
159,Colt Keith,1B,15,Reserve,MULTI_POS,13 HR each of 2 seasons; 20-25 HR upside needs to emerge; utility value
160,Nolan Schanuel,1B,15,Reserve,"POINTS_VALUE,OBP_VALUE",Elite contact + discipline; minimal power; points/OBP bump; LAA context hurts
161,Jordan Westburg,2B,16,Reserve2,"INJURY_RISK,BOUNCE_BACK",23-25 HR / .265 BA when healthy; 2nd straight 50+ G IL; 2B+3B eligible
162,J.P. Crawford,SS,16,Reserve2,DEEP_LEAGUE,Top-150 volume; solid ratios; floor play only; SEA starter
163,Cedric Mullins,OF,16,Reserve2,"SPEED_VALUE,PLATOON",20 SB / 15-17 HR; TBR platoon likely; not getting faster; ratios hurt
164,TJ Friedl,OF,16,Reserve2,SPEED_VALUE,GABP leadoff locked; Francona less aggressive limits SB ceiling vs 2024
165,Mike Yastrzemski,OF,16,Reserve2,"PLATOON,ADP_VALUE",Profar suspended = de facto ATL starter; 20 HR / OBP value; left-only
166,Colton Cowser,OF,16,Reserve2,"BOUNCE_BACK,INJURY_RISK",Fractured ribs explain 2H; 30-OF ceiling; K rate rising is concern
167,Miguel Vargas,1B,16,Reserve2,"SLEEPER,MULTI_POS",97th pct solid contact; .261 BABIP very low; 108 Process+; 1B+3B eligible
168,Jeff McNeil,2B,16,Reserve2,MULTI_POS,OAK park helps power; hits 5th behind four strong bats; 15 HR ceiling; 2B+OF
169,Marcell Ozuna,DH,16,Reserve2,"AGING,BOUNCE_BACK",Core injury explains 2025; turns 35; PIT fit awkward; top-80 if healthy
170,Sal Frelick,OF,16,Reserve2,BUST,Improved dramatically in 2025; leadoff role uncertain; 90th pct outcome in 2025
171,Jake Mangum,OF,16,Reserve2,"SPEED_VALUE,POINTS_VALUE",35 SB / .280-.290 BA / switch hitter; zero power; points league depth
172,Spencer Steer,1B,16,Reserve2,"MULTI_POS,BUST",20 HR with full-time role; Suárez signing threatens AB; 1B+OF eligible
173,Masyn Winn,SS,16,Reserve2,DEEP_LEAGUE,10 HR / 10 SB; lost leadoff role; mediocre ratios; volume only
174,Josh Jung,3B,17,Lottery2,"INJURY_RISK,BOUNCE_BACK",K rate below 30%; 30 HR history if healthy; significant missed time 3 of 4 years
175,Ernie Clement,1B,17,Lottery2,"MULTI_POS,POINTS_VALUE",Top-100 in 2H; all 4 infield spots eligible; TOR starter; soft-hitting stabilizer
176,Brandon Marsh,OF,17,Lottery2,PLATOON,38.4% K vs LHP; 15 HR / 10 SB; 130 G expected; PHI 5th hitter
177,Matt Wallner,OF,17,Lottery2,"PLATOON,BUST",Big power vs RHP; huge contact issues; hot wire adds only; platoon ceiling
178,Kevin McGonigle,2B,17,Lottery2,"SLEEPER,POINTS_VALUE",Walks more than Ks every MiLB level; 20+ HR upside; AFL revelation; path opening
179,JJ Wetherholt,SS,17,Lottery2,"SLEEPER,ADP_VALUE",17-20 HR / 15-20 SB / high BA; STL starter; 2B eligible April; Nate loves him
180,Brooks Lee,2B,17,Lottery2,MULTI_POS,15 HR / multi-position 2B/3B/SS; bad team; volume only; no speed
181,José Caballero,2B,17,Lottery2,"SPEED_VALUE,MULTI_POS",Speed + versatility; Volpe return limits role; Rosario signing = NYY concern
182,Kyle Teel,C,17,Lottery2,OBP_VALUE,16-18 HR potential; K spike end of season concern; OBP value; CHW depth
183,Austin Wells,C,17,Lottery2,BUST,21 HR; 1H dominant then cratered .208/.259/.403 2H; NYY starting role
184,Anthony Volpe,SS,17,Lottery2,"INJURY_RISK,BOUNCE_BACK",Return from injury May; 12-15 HR / 20 SB; erratic production; tools buried
185,Nolan Gorman,2B,17,Lottery2,"BUST,MULTI_POS",Power + walks real; severe contact issues; STL one more chance; 2B+3B
186,Josh Lowe,OF,17,Lottery2,"SPEED_VALUE,PLATOON",20 SB / little pop; LAA 130+ G chance; career .504 OPS vs LHP concern
187,Chase DeLauter,OF,17,Lottery2,"SLEEPER,INJURY_RISK",51.9% hard-hit; 20 HR ceiling; elevated GBs watch; CLE middle-order path
188,Joey Ortiz,SS,17,Lottery2,DEEP_LEAGUE,500+ PA guaranteed; 12-15 SB / .230 BA; MIL bottom of order; volume floor
189,Dylan Beavers,OF,17,Lottery2,"OBP_VALUE,PLATOON",19% walk rate debut; 12 HR / 12 SB ceiling; BAL platoon; 0-1 count issue
190,Jared Triolo,1B,17,Lottery2,MULTI_POS,3B secured PIT; 10 HR / 15 SB ceiling; 1B/2B/3B/SS eligible; volume
191,Mark Vientos,1B,17,Lottery2,"BUST,MULTI_POS",2024 flash glimpsed briefly; Mets DH role insecure; spring dependent; 1B+3B
192,Jesús Sánchez,OF,17,Lottery2,"PLATOON,BUST",15 HR / 15 SB ceiling; TOR already has 3 LH OFs; role very unclear
193,Mickey Moniak,OF,17,Lottery2,"PLATOON,DEEP_LEAGUE",Best zone contact of career in Coors; road/LHP sits; Coors-only streamer
194,Colt Emerson,SS,17,Lottery2,STASH,Well-rounded; Donovan trade complicates path; 20-yo growing into power
195,Josh Bell,1B,17,Lottery2,"OBP_VALUE,AGING",18-20 HR / OBP value / 70 RBI; vs LHP declining; MIN 3rd on bad team
196,Harrison Bader,OF,18,Speculative3,AGING,15 HR / 15 SB; .305 BABIP won't repeat; counting stats low; Giants bottom third
197,Cam Smith,OF,18,Speculative3,SLEEPER,Sanchez trade opens role; 21-yo upside; double-digit HR path clearing
198,Justin Crawford,OF,18,Speculative3,"SPEED_VALUE,STASH",30+ SB ceiling; .300 BA in minors; double-digit walk rate added; PHI center
199,Ryan Jeffers,C,18,Speculative3,DEEP_LEAGUE,15 HR / .245 BA; volume; nothing special but reliable MIN catcher
200,Rhys Hoskins,1B,18,Speculative3,"INJURY_RISK,PLATOON",12 HR in 90 G; CLE platoon; power streamer; .748 OPS when healthy
201,Carlos Narváez,C,18,Speculative3,SLEEPER,~.231 BA; 15 HR possible; <10% barrel but decent exit velo; BoSox 6-hole
202,Andrés Giménez,2B,18,Speculative3,BOUNCE_BACK,10 HR / 15-20 SB / .240-.250 BA; bounce-back from nightmare 2025 season
